0:4:21:582,PM 1.0 : 63, PM 2.5 : 63, PM 10 : 63,Temperature = 16.00, Humidity = 28.00,speed: 0.48, Latitude: 35.238681,Longitude: 126.868362 
0:4:23:629,PM 1.0 : 64, PM 2.5 : 64, PM 10 : 64,Temperature = 16.00, Humidity = 28.00,speed: 0.48, Latitude: 35.238677,Longitude: 126.868354 
0:4:25:676,PM 1.0 : 63, PM 2.5 : 63, PM 10 : 63,Temperature = 17.00, Humidity = 28.00,speed: 0.50, Latitude: 35.238674,Longitude: 126.868354 
0:4:27:723,PM 1.0 : 64, PM 2.5 : 64, PM 10 : 64,Temperature = 18.00, Humidity = 30.00,speed: 0.41, Latitude: 35.238666,Longitude: 126.868362 
0:4:29:770,PM 1.0 : 64, PM 2.5 : 64, PM 10 : 64,Temperature = 18.00, Humidity = 29.00,speed: 0.33, Latitude: 35.238655,Longitude: 126.868370 
0:4:31:818,PM 1.0 : 64, PM 2.5 : 64, PM 10 : 64,Temperature = 18.00, Humidity = 30.00,speed: 0.48, Latitude: 35.238643,Longitude: 126.868370 
0:4:33:865,PM 1.0 : 64, PM 2.5 : 64, PM 10 : 64,Temperature = 16.00, Humidity = 29.00,speed: 0.59, Latitude: 35.238639,Longitude: 126.868370 
0:4:35:913,PM 1.0 : 64, PM 2.5 : 64, PM 10 : 64,Temperature = 16.00, Humidity = 29.00,speed: 0.39, Latitude: 35.238632,Longitude: 126.868370 
0:4:37:960,PM 1.0 : 65, PM 2.5 : 65, PM 10 : 65,Temperature = 17.00, Humidity = 28.00,speed: 0.28, Latitude: 35.238632,Longitude: 126.868377 
0:4:40:8,PM 1.0 : 65, PM 2.5 : 65, PM 10 : 65,Temperature = 14.00, Humidity = 28.00,speed: 0.46, Latitude: 35.238632,Longitude: 126.868385 
0:4:42:55,PM 1.0 : 65, PM 2.5 : 65, PM 10 : 65,Temperature = 17.00, Humidity = 29.00,speed: 0.07, Latitude: 35.238628,Longitude: 126.868385 
0:4:44:103,PM 1.0 : 65, PM 2.5 : 65, PM 10 : 65,Temperature = 16.00, Humidity = 29.00,speed: 0.00, Latitude: 35.238624,Longitude: 126.868385 
0:4:46:150,PM 1.0 : 65, PM 2.5 : 65, PM 10 : 65,Temperature = 17.00, Humidity = 30.00,speed: 0.00, Latitude: 35.238624,Longitude: 126.868385 
0:4:48:197,PM 1.0 : 66, PM 2.5 : 66, PM 10 : 66,Temperature = 17.00, Humidity = 31.00,speed: 0.00, Latitude: 35.238624,Longitude: 126.868385 
0:4:50:245,PM 1.0 : 67, PM 2.5 : 67, PM 10 : 67,Temperature = 15.00, Humidity = 30.00,speed: 0.00, Latitude: 35.238624,Longitude: 126.868385 
0:4:52:293,PM 1.0 : 67, PM 2.5 : 67, PM 10 : 67,Temperature = 14.00, Humidity = 30.00,speed: 0.00, Latitude: 35.238624,Longitude: 126.868385 
0:4:54:335,PM 1.0 : 65, PM 2.5 : 65, PM 10 : 65,Temperature = 15.00, Humidity = 30.00,speed: 1.07, Latitude: 35.238643,Longitude: 126.868377 
0:4:56:386,PM 1.0 : 66, PM 2.5 : 66, PM 10 : 66,Temperature = 16.00, Humidity = 31.00,speed: 0.61, Latitude: 35.238609,Longitude: 126.868408 
0:4:58:433,PM 1.0 : 67, PM 2.5 : 67, PM 10 : 67,Temperature = 17.00, Humidity = 32.00,speed: 0.33, Latitude: 35.238594,Longitude: 126.868423 
0:5:0:482,PM 1.0 : 67, PM 2.5 : 67, PM 10 : 67,Temperature = 16.00, Humidity = 32.00,speed: 0.37, Latitude: 35.238597,Longitude: 126.868431 
0:5:2:530,PM 1.0 : 67, PM 2.5 : 67, PM 10 : 67,Temperature = 14.00, Humidity = 31.00,speed: 0.37, Latitude: 35.238597,Longitude: 126.868431 
0:5:4:575,PM 1.0 : 66, PM 2.5 : 66, PM 10 : 66,Temperature = 17.00, Humidity = 32.00,speed: 0.37, Latitude: 35.238597,Longitude: 126.868431 
0:5:6:621,PM 1.0 : 68, PM 2.5 : 68, PM 10 : 68,Temperature = 14.00, Humidity = 31.00,speed: 0.37, Latitude: 35.238597,Longitude: 126.868431 
