time,Latitude,Longitude,PM2.5
0:12:6:597,35.250606,126.871978,86
0:12:8:647,35.250751,126.871986,86
0:12:10:696,35.250892,126.872024,85
0:12:12:745,35.251029,126.872062,85
0:12:14:795,35.251174,126.872108,84
0:12:16:843,35.251399,126.872184,83
0:12:18:893,35.251548,126.872245,81
0:12:20:942,35.251689,126.872322,79
0:12:22:991,35.251819,126.87239,79
0:12:25:40,35.251949,126.872451,78
0:12:27:89,35.25209,126.872497,77
0:12:29:138,35.252239,126.87252,76
0:12:31:187,35.252388,126.872543,75
0:12:33:236,35.252532,126.87255,73
0:12:35:286,35.252666,126.872558,72
0:12:37:335,35.252799,126.872566,72
0:12:39:383,35.252922,126.87255,70
0:12:41:433,35.25304,126.872474,69
0:12:43:482,35.253154,126.872352,68
0:12:45:532,35.253261,126.8722,67
0:12:47:581,35.253383,126.872055,66
0:12:49:630,35.25352,126.871948,64
0:12:51:680,35.253673,126.871879,63
0:12:53:729,35.253818,126.871818,62
0:12:55:778,35.253952,126.871734,61
0:12:57:827,35.254108,126.871551,60
0:12:59:877,35.254196,126.871414,58
0:13:1:926,35.254249,126.871276,56
0:13:3:975,35.254283,126.871131,55
0:13:6:24,35.254291,126.871025,53
0:13:8:73,35.254264,126.870918,51
0:13:10:122,35.254219,126.870803,50
0:13:12:171,35.254177,126.870658,49
0:13:14:220,35.254169,126.870506,50
0:13:16:269,35.254203,126.870353,49
0:13:18:318,35.25428,126.870201,49
0:13:20:367,35.254379,126.870048,49
0:13:22:416,35.254478,126.869918,49
0:13:24:465,35.254589,126.869819,48
0:13:26:515,35.254703,126.869728,48
0:13:28:564,35.254833,126.869628,48
0:13:30:614,35.254959,126.869529,48
0:13:32:663,35.255073,126.869422,48
0:13:34:713,35.255161,126.8693,47
0:13:36:761,35.255229,126.869056,48
0:13:38:811,35.255252,126.868881,48
0:13:40:860,35.255287,126.868705,48
0:13:42:909,35.255348,126.868537,49
0:13:44:957,35.255416,126.868377,49
0:13:47:6,35.25547,126.868217,48
0:13:49:56,35.255489,126.868064,48
0:13:51:105,35.255462,126.867919,48
0:13:53:154,35.255405,126.867767,48
0:13:55:203,35.25534,126.867599,50
0:13:57:252,35.255283,126.867454,49
0:13:59:301,35.255256,126.86737,48
0:14:1:349,35.255256,126.867324,48
0:14:3:399,35.255279,126.867279,46
0:14:5:448,35.255336,126.867233,47
0:14:7:498,35.255439,126.86721,48
0:14:9:547,35.255561,126.867179,47
0:14:11:596,35.255691,126.867149,47
0:14:13:646,35.255836,126.867111,48
0:14:15:695,35.256,126.867073,49
0:14:17:745,35.256267,126.867012,48
0:14:19:794,35.256427,126.866973,49
0:14:21:843,35.256553,126.866935,49
0:14:23:892,35.256668,126.866912,50
0:14:25:941,35.25679,126.866897,49
0:14:27:990,35.256904,126.866867,49
0:14:30:39,35.257019,126.866806,49
0:14:32:88,35.257129,126.866722,49
0:14:34:137,35.257232,126.866615,49
0:14:36:187,35.257328,126.8665,49
0:14:38:236,35.257419,126.866386,49
0:14:40:285,35.257511,126.866264,49
0:14:42:334,35.257606,126.866149,49
0:14:44:383,35.257701,126.866035,49
0:14:46:433,35.257797,126.865913,49
0:14:48:482,35.257896,126.865791,49
0:14:50:532,35.257991,126.865669,49
0:14:52:581,35.258075,126.865554,49
0:14:54:630,35.258155,126.86544,49
0:14:56:680,35.258289,126.865242,49
0:14:58:729,35.258377,126.865089,50
0:15:0:779,35.258445,126.864936,52
0:15:2:828,35.258522,126.864776,52
0:15:4:877,35.258602,126.864631,53
0:15:6:925,35.258697,126.864501,53
0:15:8:974,35.258804,126.864387,53
0:15:11:23,35.258907,126.864295,53
0:15:13:72,35.25901,126.864227,52
0:15:15:121,35.259117,126.864166,52
0:15:17:170,35.259208,126.864112,52
0:15:19:219,35.259292,126.864067,51
0:15:21:267,35.259368,126.864021,50
0:15:23:317,35.259433,126.863983,50
0:15:25:366,35.259468,126.86396,49
0:15:27:415,35.259483,126.863929,24
0:15:29:464,35.259468,126.863868,24
0:15:31:514,35.259426,126.863807,25
0:15:33:563,35.259368,126.863731,42
0:15:35:612,35.259273,126.863563,41
0:15:37:662,35.259208,126.863433,42
0:15:39:711,35.259143,126.863288,42
0:15:41:760,35.259086,126.863166,42
0:15:43:809,35.259029,126.863052,42
0:15:45:857,35.258956,126.862945,42
0:15:47:905,35.258876,126.862846,42
0:15:49:954,35.258769,126.862777,42
0:15:52:3,35.258655,126.862747,43
0:15:54:52,35.258533,126.862739,43
0:15:56:101,35.258411,126.862747,43
0:15:58:150,35.258281,126.86277,43
0:16:0:198,35.258136,126.862815,43
0:16:2:248,35.257991,126.862861,43
0:16:4:297,35.257846,126.862907,43
0:16:6:347,35.257686,126.86296,43
0:16:8:396,35.257514,126.862998,43
0:16:10:445,35.25735,126.863021,44
0:16:12:495,35.257164,126.863006,43
0:16:14:545,35.256893,126.862998,44
0:16:16:594,35.25669,126.86296,45
0:16:18:642,35.256462,126.862953,46
0:16:20:691,35.256244,126.862915,46
0:16:22:740,35.256046,126.862915,46
0:16:24:790,35.25584,126.862915,46
0:16:26:839,35.25563,126.862915,46
0:16:28:887,35.25542,126.862945,47
0:16:30:936,35.255229,126.862976,48
0:16:32:985,35.255031,126.862991,47
0:16:35:34,35.254814,126.862991,49
0:16:37:83,35.254585,126.862983,49
0:16:39:132,35.254371,126.862937,49
0:16:41:182,35.25423,126.862884,49
0:16:43:231,35.254093,126.862846,48
0:16:45:281,35.253974,126.862823,48
0:16:47:330,35.253852,126.862808,49
0:16:49:379,35.253707,126.8628,49
0:16:51:429,35.253536,126.862792,48
0:16:53:478,35.253356,126.862785,48
0:16:55:527,35.253101,126.862777,49
0:16:57:577,35.252937,126.862785,50
0:16:59:626,35.252784,126.862792,49
0:17:1:675,35.252658,126.862792,51
0:17:3:724,35.252552,126.862792,50
0:17:5:773,35.252445,126.862785,50
0:17:7:821,35.252323,126.86277,50
0:17:9:870,35.252182,126.862762,49
0:17:11:919,35.252037,126.862792,49
0:17:13:968,35.251888,126.862876,48
0:17:16:17,35.251728,126.862968,48
